Date,Open,High,Low,Close,Volume,Adusted Close
2000-04-09,20.15,20.15,20.15,20.15,0.0,
2000-04-16,18.05,18.05,18.05,18.05,0.0,
2000-04-23,18.83,18.83,18.83,18.83,0.0,
2000-04-30,19.49,19.49,19.49,19.49,0.0,
2000-05-07,19.5,19.5,19.5,19.5,0.0,
2000-05-14,19.17,19.17,19.17,19.17,0.0,
2000-05-21,18.95,18.95,18.95,18.95,0.0,
2000-05-28,18.32,18.32,18.32,18.32,0.0,
2000-06-04,19.28,19.28,19.28,19.28,0.0,
2000-06-11,19.47,19.47,19.47,19.47,0.0,
2000-06-18,19.4,19.4,19.4,19.4,0.0,
2000-06-25,19.14,19.14,19.14,19.14,0.0,
2000-07-02,19.61,19.61,19.61,19.61,0.0,
2000-07-09,19.78,19.78,19.78,19.78,0.0,
2000-07-16,20.4,20.4,20.4,20.4,0.0,
2000-07-23,20.09,20.09,20.09,20.09,0.0,
2000-07-30,19.33,19.33,19.33,19.33,0.0,
2000-08-06,19.73,19.73,19.73,19.73,0.0,
2000-08-13,20.11,20.11,20.11,20.11,0.0,
2000-08-20,20.48,20.48,20.48,20.48,0.0,
2000-08-27,20.68,20.68,20.68,20.68,0.0,
2000-09-03,21.1,21.1,21.1,21.1,0.0,
2000-09-10,21.13,21.13,21.13,21.13,0.0,
2000-09-17,21.08,21.08,21.08,21.08,0.0,
2000-09-24,20.53,20.53,20.53,20.53,0.0,
2000-10-01,20.65,20.65,20.65,20.65,0.0,
2000-10-08,19.97,19.97,19.97,19.97,0.0,
2000-10-15,19.45,19.45,19.45,19.45,0.0,
2000-10-22,19.37,19.37,19.37,19.37,0.0,
2000-10-29,19.32,19.32,19.32,19.32,0.0,
2000-11-05,20.18,20.18,20.18,20.18,0.0,
2000-11-12,19.73,19.73,19.73,19.73,0.0,
2000-11-19,19.93,19.93,19.93,19.93,0.0,
2000-11-26,19.64,19.64,19.64,19.64,0.0,
2000-12-03,19.09,19.09,19.09,19.09,0.0,
2000-12-10,19.62,19.62,19.62,19.62,0.0,
2000-12-17,19.17,19.17,19.17,19.17,0.0,
2000-12-24,17.54,17.54,17.54,17.54,0.0,
2000-12-31,18.42,18.42,18.42,18.42,0.0,
2001-01-07,18.59,18.59,18.59,18.59,0.0,
2001-01-14,19.3,19.3,19.3,19.3,0.0,
2001-01-21,19.58,19.58,19.58,19.58,0.0,
2001-01-28,19.92,19.92,19.92,19.92,0.0,
2001-02-04,20.4,20.4,20.4,20.4,0.0,
2001-02-11,20.51,20.51,20.51,20.51,0.0,
2001-02-18,20.65,20.65,20.65,20.65,0.0,
2001-02-25,19.94,19.94,19.94,19.94,0.0,
2001-03-04,20.05,20.05,20.05,20.05,0.0,
2001-03-11,20.33,20.33,20.33,20.33,0.0,
2001-03-18,19.24,19.24,19.24,19.24,0.0,
2001-03-25,19.02,19.02,19.02,19.02,0.0,
2001-04-01,19.44,19.44,19.44,19.44,0.0,
2001-04-08,18.71,18.71,18.71,18.71,0.0,
2001-04-15,19.27,19.27,19.27,19.27,0.0,
2001-04-22,19.68,19.68,19.68,19.68,0.0,
2001-04-29,20.47,20.47,20.47,20.47,0.0,
2001-05-06,21.01,21.01,21.01,21.01,0.0,
2001-05-13,21.26,21.26,21.26,21.26,0.0,
2001-05-20,21.99,21.99,21.99,21.99,0.0,
2001-05-27,22.12,22.12,22.12,22.12,0.0,
2001-06-03,22.16,22.16,22.16,22.16,0.0,
2001-06-10,22.38,22.38,22.38,22.38,0.0,
2001-06-17,21.84,21.84,21.84,21.84,0.0,
2001-06-24,21.64,21.64,21.64,21.64,0.0,
2001-07-01,22.04,22.04,22.04,22.04,0.0,
2001-07-08,21.93,21.93,21.93,21.93,0.0,
2001-07-15,22.33,22.33,22.33,22.33,0.0,
2001-07-22,22.59,22.59,22.59,22.59,0.0,
2001-07-29,22.26,22.26,22.26,22.26,0.0,
2001-08-05,22.39,22.39,22.39,22.39,0.0,
2001-08-12,22.07,22.07,22.07,22.07,0.0,
2001-08-19,22.28,22.28,22.28,22.28,0.0,
2001-08-26,22.42,22.42,22.42,22.42,0.0,
2001-09-02,22.05,22.05,22.05,22.05,0.0,
2001-09-09,21.29,21.29,21.29,21.29,0.0,
2001-09-16,21.03,21.03,21.03,21.03,0.0,
2001-09-23,17.68,17.68,17.68,17.68,0.0,
2001-09-30,18.84,18.84,18.84,18.84,0.0,
2001-10-07,19.03,19.03,19.03,19.03,0.0,
2001-10-14,19.44,19.44,19.44,19.44,0.0,
2001-10-21,19.33,19.33,19.33,19.33,0.0,
2001-10-28,19.83,19.83,19.83,19.83,0.0,
2001-11-04,19.74,19.74,19.74,19.74,0.0,
2001-11-11,19.96,19.96,19.96,19.96,0.0,
2001-11-18,20.59,20.59,20.59,20.59,0.0,
2001-11-25,20.89,20.89,20.89,20.89,0.0,
2001-12-02,21.11,21.11,21.11,21.11,0.0,
2001-12-09,21.87,21.87,21.87,21.87,0.0,
2001-12-16,21.64,21.64,21.64,21.64,0.0,
2001-12-23,18.46,18.46,18.46,18.46,0.0,
2001-12-30,18.85,18.85,18.85,18.85,0.0,
2002-01-06,19.26,19.26,19.26,19.26,0.0,
2002-01-13,19.09,19.09,19.09,19.09,0.0,
2002-01-20,18.65,18.65,18.65,18.65,0.0,
2002-01-27,18.85,18.85,18.85,18.85,0.0,
2002-02-03,18.98,18.98,18.98,18.98,0.0,
2002-02-10,18.58,18.58,18.58,18.58,0.0,
2002-02-17,18.77,18.77,18.77,18.77,0.0,
2002-02-24,18.78,18.78,18.78,18.78,0.0,
2002-03-03,19.32,19.32,19.32,19.32,0.0,
2002-03-10,20.23,20.23,20.23,20.23,0.0,
2002-03-17,20.38,20.38,20.38,20.38,0.0,
2002-03-24,20.66,20.66,20.66,20.66,0.0,
2002-03-31,20.95,20.95,20.95,20.95,0.0,
2002-04-07,20.81,20.81,20.81,20.81,0.0,
2002-04-14,21.74,21.74,21.74,21.74,0.0,
2002-04-21,21.98,21.98,21.98,21.98,0.0,
2002-04-28,21.56,21.56,21.56,21.56,0.0,
2002-05-05,22.15,22.15,22.15,22.15,0.0,
2002-05-12,21.38,21.38,21.38,21.38,0.0,
2002-05-19,21.89,21.89,21.89,21.89,0.0,
2002-05-26,21.4,21.4,21.4,21.4,0.0,
2002-06-02,21.21,21.21,21.21,21.21,0.0,
2002-06-09,20.51,20.51,20.51,20.51,0.0,
2002-06-16,20.08,20.08,20.08,20.08,0.0,
2002-06-23,20.45,20.45,20.45,20.45,0.0,
2002-06-30,20.77,20.77,20.77,20.77,0.0,
2002-07-07,20.0,20.0,20.0,20.0,0.0,
2002-07-14,18.84,18.84,18.84,18.84,0.0,
2002-07-21,17.44,17.44,17.44,17.44,0.0,
2002-07-28,17.13,17.13,17.13,17.13,0.0,
2002-08-04,16.87,16.87,16.87,16.87,0.0,
2002-08-11,17.31,17.31,17.31,17.31,0.0,
2002-08-18,17.57,17.57,17.57,17.57,0.0,
2002-08-25,17.71,17.71,17.71,17.71,0.0,
